State/UT,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit,month,day_of_year,lag_1,lag_7,rolling_mean_7
Punjab,Vegetables,Onion,2024-01-08,897.64,Metric Tonnes,1736.41,Rs./Quintal,1,8,97.1,838.07,526.0871428571429
Punjab,Vegetables,Onion,2024-01-09,655.81,Metric Tonnes,1849.43,Rs./Quintal,1,9,897.64,638.71,534.5971428571428
Punjab,Vegetables,Onion,2024-01-10,538.35,Metric Tonnes,1835.06,Rs./Quintal,1,10,655.81,548.36,537.04
Punjab,Vegetables,Onion,2024-01-11,573.82,Metric Tonnes,1847.58,Rs./Quintal,1,11,538.35,473.8,535.61
Punjab,Vegetables,Onion,2024-01-12,1089.47,Metric Tonnes,1926.58,Rs./Quintal,1,12,573.82,523.49,549.8985714285715
Punjab,Vegetables,Onion,2024-01-13,785.49,Metric Tonnes,1763.43,Rs./Quintal,1,13,1089.47,563.08,630.7528571428572
Punjab,Vegetables,Onion,2024-01-14,58.05,Metric Tonnes,2011.63,Rs./Quintal,1,14,785.49,97.1,662.5257142857143
Punjab,Vegetables,Onion,2024-01-15,1055.33,Metric Tonnes,1834.49,Rs./Quintal,1,15,58.05,897.64,656.947142857143
Punjab,Vegetables,Onion,2024-01-16,919.41,Metric Tonnes,1776.69,Rs./Quintal,1,16,1055.33,655.81,679.4742857142857
Punjab,Vegetables,Onion,2024-01-17,535.26,Metric Tonnes,1875.88,Rs./Quintal,1,17,919.41,538.35,717.1314285714286
Punjab,Vegetables,Onion,2024-01-18,775.74,Metric Tonnes,2029.59,Rs./Quintal,1,18,535.26,573.82,716.6899999999999
Punjab,Vegetables,Onion,2024-01-19,664.51,Metric Tonnes,1794.4,Rs./Quintal,1,19,775.74,1089.47,745.5357142857143
Punjab,Vegetables,Onion,2024-01-20,676.19,Metric Tonnes,1777.67,Rs./Quintal,1,20,664.51,785.49,684.8271428571428
Punjab,Vegetables,Onion,2024-01-21,57.5,Metric Tonnes,2060.87,Rs./Quintal,1,21,676.19,58.05,669.2128571428572
Punjab,Vegetables,Onion,2024-01-22,1112.19,Metric Tonnes,1630.69,Rs./Quintal,1,22,57.5,1055.33,669.1342857142856
Punjab,Vegetables,Onion,2024-01-23,837.8,Metric Tonnes,1658.86,Rs./Quintal,1,23,1112.19,919.41,677.2571428571429
Punjab,Vegetables,Onion,2024-01-24,1002.31,Metric Tonnes,1631.99,Rs./Quintal,1,24,837.8,535.26,665.5985714285715
Punjab,Vegetables,Onion,2024-01-25,796.48,Metric Tonnes,1502.34,Rs./Quintal,1,25,1002.31,775.74,732.3199999999999
Punjab,Vegetables,Onion,2024-01-26,560.85,Metric Tonnes,1559.72,Rs./Quintal,1,26,796.48,664.51,735.2828571428572
Punjab,Vegetables,Onion,2024-01-27,527.73,Metric Tonnes,1539.57,Rs./Quintal,1,27,560.85,676.19,720.4742857142857
Punjab,Vegetables,Onion,2024-01-28,54.82,Metric Tonnes,1819.23,Rs./Quintal,1,28,527.73,57.5,699.2657142857144
Punjab,Vegetables,Onion,2024-01-29,1030.39,Metric Tonnes,1536.22,Rs./Quintal,1,29,54.82,1112.19,698.8828571428572
Punjab,Vegetables,Onion,2024-01-30,1032.41,Metric Tonnes,1475.66,Rs./Quintal,1,30,1030.39,837.8,687.1971428571429
Punjab,Vegetables,Onion,2024-01-31,826.05,Metric Tonnes,1521.85,Rs./Quintal,1,31,1032.41,1002.31,714.9985714285714
Punjab,Vegetables,Onion,2024-02-01,1080.91,Metric Tonnes,1447.01,Rs./Quintal,2,32,826.05,796.48,689.8185714285715
Punjab,Vegetables,Onion,2024-02-02,1041.74,Metric Tonnes,1428.31,Rs./Quintal,2,33,1080.91,560.85,730.4514285714286
Punjab,Vegetables,Onion,2024-02-03,702.72,Metric Tonnes,1425.0,Rs./Quintal,2,34,1041.74,527.73,799.1500000000002
Punjab,Vegetables,Onion,2024-02-04,74.0,Metric Tonnes,1630.81,Rs./Quintal,2,35,702.72,54.82,824.1485714285715
Punjab,Vegetables,Onion,2024-02-05,1412.88,Metric Tonnes,1418.91,Rs./Quintal,2,36,74.0,1030.39,826.8885714285715
Punjab,Vegetables,Onion,2024-02-06,1238.79,Metric Tonnes,1341.35,Rs./Quintal,2,37,1412.88,1032.41,881.53
Punjab,Vegetables,Onion,2024-02-07,911.34,Metric Tonnes,1390.48,Rs./Quintal,2,38,1238.79,826.05,911.0128571428571
Punjab,Vegetables,Onion,2024-02-08,1009.63,Metric Tonnes,1323.94,Rs./Quintal,2,39,911.34,1080.91,923.1971428571429
Punjab,Vegetables,Onion,2024-02-09,1029.14,Metric Tonnes,1305.78,Rs./Quintal,2,40,1009.63,1041.74,913.0142857142857
Punjab,Vegetables,Onion,2024-02-10,912.35,Metric Tonnes,1324.97,Rs./Quintal,2,41,1029.14,702.72,911.2142857142859
Punjab,Vegetables,Onion,2024-02-11,96.05,Metric Tonnes,1662.36,Rs./Quintal,2,42,912.35,74.0,941.1614285714286
Punjab,Vegetables,Onion,2024-02-12,1511.49,Metric Tonnes,1298.87,Rs./Quintal,2,43,96.05,1412.88,944.3114285714286
Punjab,Vegetables,Onion,2024-02-13,1295.86,Metric Tonnes,1337.69,Rs./Quintal,2,44,1511.49,1238.79,958.3985714285716
Punjab,Vegetables,Onion,2024-02-14,602.92,Metric Tonnes,1401.42,Rs./Quintal,2,45,1295.86,911.34,966.5514285714287
Punjab,Vegetables,Onion,2024-02-15,684.85,Metric Tonnes,1404.98,Rs./Quintal,2,46,602.92,1009.63,922.4914285714286
Punjab,Vegetables,Onion,2024-02-16,275.6,Metric Tonnes,1476.88,Rs./Quintal,2,47,684.85,1029.14,876.0942857142857
Punjab,Vegetables,Onion,2024-02-17,977.33,Metric Tonnes,1311.07,Rs./Quintal,2,48,275.6,912.35,768.4457142857143
Punjab,Vegetables,Onion,2024-02-18,78.61,Metric Tonnes,1407.52,Rs./Quintal,2,49,977.33,96.05,777.7285714285715
Punjab,Vegetables,Onion,2024-02-19,1038.98,Metric Tonnes,1392.34,Rs./Quintal,2,50,78.61,1511.49,775.2371428571429
Punjab,Vegetables,Onion,2024-02-20,787.1,Metric Tonnes,1441.43,Rs./Quintal,2,51,1038.98,1295.86,707.7357142857143
Punjab,Vegetables,Onion,2024-02-21,433.25,Metric Tonnes,1437.26,Rs./Quintal,2,52,787.1,602.92,635.0557142857143
Punjab,Vegetables,Onion,2024-02-22,603.14,Metric Tonnes,1448.08,Rs./Quintal,2,53,433.25,684.85,610.8171428571429
Punjab,Vegetables,Onion,2024-02-23,502.14,Metric Tonnes,1480.82,Rs./Quintal,2,54,603.14,275.6,599.1442857142857
Punjab,Vegetables,Onion,2024-02-24,595.22,Metric Tonnes,1398.44,Rs./Quintal,2,55,502.14,977.33,631.5071428571429
Punjab,Vegetables,Onion,2024-02-25,42.33,Metric Tonnes,1804.91,Rs./Quintal,2,56,595.22,78.61,576.92
Punjab,Vegetables,Onion,2024-02-26,994.5,Metric Tonnes,1425.3,Rs./Quintal,2,57,42.33,1038.98,571.7371428571429
Punjab,Vegetables,Onion,2024-02-27,912.76,Metric Tonnes,1442.79,Rs./Quintal,2,58,994.5,787.1,565.3828571428572
Punjab,Vegetables,Onion,2024-02-28,835.97,Metric Tonnes,1540.37,Rs./Quintal,2,59,912.76,433.25,583.3342857142858
Punjab,Vegetables,Onion,2024-02-29,821.72,Metric Tonnes,1515.79,Rs./Quintal,2,60,835.97,603.14,640.8657142857143
Punjab,Vegetables,Onion,2024-03-01,722.08,Metric Tonnes,1518.33,Rs./Quintal,3,61,821.72,502.14,672.0914285714287
Punjab,Vegetables,Onion,2024-03-02,503.72,Metric Tonnes,1509.25,Rs./Quintal,3,62,722.08,595.22,703.5114285714286
Punjab,Vegetables,Onion,2024-03-03,64.25,Metric Tonnes,1638.13,Rs./Quintal,3,63,503.72,42.33,690.4400000000002
Punjab,Vegetables,Onion,2024-03-04,1089.81,Metric Tonnes,1497.36,Rs./Quintal,3,64,64.25,994.5,693.5714285714287
Punjab,Vegetables,Onion,2024-03-05,1406.83,Metric Tonnes,1665.26,Rs./Quintal,3,65,1089.81,912.76,707.1871428571428
Punjab,Vegetables,Onion,2024-03-06,843.5,Metric Tonnes,1511.83,Rs./Quintal,3,66,1406.83,835.97,777.7685714285714
Punjab,Vegetables,Onion,2024-03-07,472.49,Metric Tonnes,1741.36,Rs./Quintal,3,67,843.5,821.72,778.8442857142857
Punjab,Vegetables,Onion,2024-03-08,697.34,Metric Tonnes,1469.13,Rs./Quintal,3,68,472.49,722.08,728.9542857142858
Punjab,Vegetables,Onion,2024-03-09,909.95,Metric Tonnes,1605.36,Rs./Quintal,3,69,697.34,503.72,725.4200000000001
Punjab,Vegetables,Onion,2024-03-10,44.9,Metric Tonnes,1666.15,Rs./Quintal,3,70,909.95,64.25,783.4528571428572
Punjab,Vegetables,Onion,2024-03-11,1197.76,Metric Tonnes,1581.89,Rs./Quintal,3,71,44.9,1089.81,780.6885714285714
Punjab,Vegetables,Onion,2024-03-12,1210.0,Metric Tonnes,1656.24,Rs./Quintal,3,72,1197.76,1406.83,796.11
Punjab,Vegetables,Onion,2024-03-13,636.86,Metric Tonnes,1605.6,Rs./Quintal,3,73,1210.0,843.5,767.9914285714286
Punjab,Vegetables,Onion,2024-03-14,909.58,Metric Tonnes,1696.06,Rs./Quintal,3,74,636.86,472.49,738.4714285714286
Punjab,Vegetables,Onion,2024-03-15,431.9,Metric Tonnes,1623.75,Rs./Quintal,3,75,909.58,697.34,800.9128571428571
