State/UT,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit,month,day_of_year,lag_1,lag_7,rolling_mean_7
Punjab,Vegetables,Onion,2024-01-08,897.64,Metric Tonnes,1736.41,Rs./Quintal,1,8,2022.76,1529.68,1822.1442857142858
Punjab,Vegetables,Onion,2024-01-09,655.81,Metric Tonnes,1849.43,Rs./Quintal,1,9,1736.41,1683.97,1851.6771428571428
Punjab,Vegetables,Onion,2024-01-10,538.35,Metric Tonnes,1835.06,Rs./Quintal,1,10,1849.43,2024.44,1875.314285714286
Punjab,Vegetables,Onion,2024-01-11,573.82,Metric Tonnes,1847.58,Rs./Quintal,1,11,1835.06,1968.58,1848.26
Punjab,Vegetables,Onion,2024-01-12,1089.47,Metric Tonnes,1926.58,Rs./Quintal,1,12,1847.58,1848.19,1830.9742857142858
Punjab,Vegetables,Onion,2024-01-13,785.49,Metric Tonnes,1763.43,Rs./Quintal,1,13,1926.58,1677.39,1842.172857142857
Punjab,Vegetables,Onion,2024-01-14,58.05,Metric Tonnes,2011.63,Rs./Quintal,1,14,1763.43,2022.76,1854.4642857142858
Punjab,Vegetables,Onion,2024-01-15,1055.33,Metric Tonnes,1834.49,Rs./Quintal,1,15,2011.63,1736.41,1852.8742857142859
Punjab,Vegetables,Onion,2024-01-16,919.41,Metric Tonnes,1776.69,Rs./Quintal,1,16,1834.49,1849.43,1866.8857142857144
Punjab,Vegetables,Onion,2024-01-17,535.26,Metric Tonnes,1875.88,Rs./Quintal,1,17,1776.69,1835.06,1856.4942857142855
Punjab,Vegetables,Onion,2024-01-18,775.74,Metric Tonnes,2029.59,Rs./Quintal,1,18,1875.88,1847.58,1862.3257142857144
Punjab,Vegetables,Onion,2024-01-19,664.51,Metric Tonnes,1794.4,Rs./Quintal,1,19,2029.59,1926.58,1888.327142857143
Punjab,Vegetables,Onion,2024-01-20,676.19,Metric Tonnes,1777.67,Rs./Quintal,1,20,1794.4,1763.43,1869.4442857142858
Punjab,Vegetables,Onion,2024-01-21,57.5,Metric Tonnes,2060.87,Rs./Quintal,1,21,1777.67,2011.63,1871.4785714285715
Punjab,Vegetables,Onion,2024-01-22,1112.19,Metric Tonnes,1630.69,Rs./Quintal,1,22,2060.87,1834.49,1878.5128571428572
Punjab,Vegetables,Onion,2024-01-23,837.8,Metric Tonnes,1658.86,Rs./Quintal,1,23,1630.69,1776.69,1849.3985714285714
Punjab,Vegetables,Onion,2024-01-24,1002.31,Metric Tonnes,1631.99,Rs./Quintal,1,24,1658.86,1875.88,1832.5657142857142
Punjab,Vegetables,Onion,2024-01-25,796.48,Metric Tonnes,1502.34,Rs./Quintal,1,25,1631.99,2029.59,1797.7242857142858
Punjab,Vegetables,Onion,2024-01-26,560.85,Metric Tonnes,1559.72,Rs./Quintal,1,26,1502.34,1794.4,1722.402857142857
Punjab,Vegetables,Onion,2024-01-27,527.73,Metric Tonnes,1539.57,Rs./Quintal,1,27,1559.72,1777.67,1688.8771428571429
Punjab,Vegetables,Onion,2024-01-28,54.82,Metric Tonnes,1819.23,Rs./Quintal,1,28,1539.57,2060.87,1654.862857142857
Punjab,Vegetables,Onion,2024-01-29,1030.39,Metric Tonnes,1536.22,Rs./Quintal,1,29,1819.23,1630.69,1620.3428571428572
Punjab,Vegetables,Onion,2024-01-30,1032.41,Metric Tonnes,1475.66,Rs./Quintal,1,30,1536.22,1658.86,1606.847142857143
Punjab,Vegetables,Onion,2024-01-31,826.05,Metric Tonnes,1521.85,Rs./Quintal,1,31,1475.66,1631.99,1580.6757142857143
Punjab,Vegetables,Onion,2024-02-01,1080.91,Metric Tonnes,1447.01,Rs./Quintal,2,32,1521.85,1502.34,1564.9414285714286
Punjab,Vegetables,Onion,2024-02-02,1041.74,Metric Tonnes,1428.31,Rs./Quintal,2,33,1447.01,1559.72,1557.037142857143
Punjab,Vegetables,Onion,2024-02-03,702.72,Metric Tonnes,1425.0,Rs./Quintal,2,34,1428.31,1539.57,1538.2642857142857
Punjab,Vegetables,Onion,2024-02-04,74.0,Metric Tonnes,1630.81,Rs./Quintal,2,35,1425.0,1819.23,1521.8971428571429
Punjab,Vegetables,Onion,2024-02-05,1412.88,Metric Tonnes,1418.91,Rs./Quintal,2,36,1630.81,1536.22,1494.9799999999998
Punjab,Vegetables,Onion,2024-02-06,1238.79,Metric Tonnes,1341.35,Rs./Quintal,2,37,1418.91,1475.66,1478.2214285714285
Punjab,Vegetables,Onion,2024-02-07,911.34,Metric Tonnes,1390.48,Rs./Quintal,2,38,1341.35,1521.85,1459.0342857142857
Punjab,Vegetables,Onion,2024-02-08,1009.63,Metric Tonnes,1323.94,Rs./Quintal,2,39,1390.48,1447.01,1440.2671428571427
Punjab,Vegetables,Onion,2024-02-09,1029.14,Metric Tonnes,1305.78,Rs./Quintal,2,40,1323.94,1428.31,1422.685714285714
Punjab,Vegetables,Onion,2024-02-10,912.35,Metric Tonnes,1324.97,Rs./Quintal,2,41,1305.78,1425.0,1405.1814285714286
Punjab,Vegetables,Onion,2024-02-11,96.05,Metric Tonnes,1662.36,Rs./Quintal,2,42,1324.97,1630.81,1390.8914285714286
Punjab,Vegetables,Onion,2024-02-12,1511.49,Metric Tonnes,1298.87,Rs./Quintal,2,43,1662.36,1418.91,1395.3985714285716
Punjab,Vegetables,Onion,2024-02-13,1295.86,Metric Tonnes,1337.69,Rs./Quintal,2,44,1298.87,1341.35,1378.25
Punjab,Vegetables,Onion,2024-02-14,602.92,Metric Tonnes,1401.42,Rs./Quintal,2,45,1337.69,1390.48,1377.7271428571428
Punjab,Vegetables,Onion,2024-02-15,684.85,Metric Tonnes,1404.98,Rs./Quintal,2,46,1401.42,1323.94,1379.2900000000002
Punjab,Vegetables,Onion,2024-02-16,275.6,Metric Tonnes,1476.88,Rs./Quintal,2,47,1404.98,1305.78,1390.8671428571429
Punjab,Vegetables,Onion,2024-02-17,977.33,Metric Tonnes,1311.07,Rs./Quintal,2,48,1476.88,1324.97,1415.31
Punjab,Vegetables,Onion,2024-02-18,78.61,Metric Tonnes,1407.52,Rs./Quintal,2,49,1311.07,1662.36,1413.3242857142857
Punjab,Vegetables,Onion,2024-02-19,1038.98,Metric Tonnes,1392.34,Rs./Quintal,2,50,1407.52,1298.87,1376.9185714285716
Punjab,Vegetables,Onion,2024-02-20,787.1,Metric Tonnes,1441.43,Rs./Quintal,2,51,1392.34,1337.69,1390.2714285714287
Punjab,Vegetables,Onion,2024-02-21,433.25,Metric Tonnes,1437.26,Rs./Quintal,2,52,1441.43,1401.42,1405.0914285714284
Punjab,Vegetables,Onion,2024-02-22,603.14,Metric Tonnes,1448.08,Rs./Quintal,2,53,1437.26,1404.98,1410.2114285714285
