State/UT,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Punjab,Vegetables,Onion,2024-01-01,838.07,Metric Tonnes,1529.68,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-02,638.71,Metric Tonnes,1683.97,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-03,548.36,Metric Tonnes,2024.44,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-04,473.8,Metric Tonnes,1968.58,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-05,523.49,Metric Tonnes,1848.19,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-06,563.08,Metric Tonnes,1677.39,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-07,97.1,Metric Tonnes,2022.76,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-08,897.64,Metric Tonnes,1736.41,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-09,655.81,Metric Tonnes,1849.43,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-10,538.35,Metric Tonnes,1835.06,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-11,573.82,Metric Tonnes,1847.58,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-12,1089.47,Metric Tonnes,1926.58,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-13,785.49,Metric Tonnes,1763.43,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-14,58.05,Metric Tonnes,2011.63,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-15,1055.33,Metric Tonnes,1834.49,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-16,919.41,Metric Tonnes,1776.69,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-17,535.26,Metric Tonnes,1875.88,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-18,775.74,Metric Tonnes,2029.59,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-19,664.51,Metric Tonnes,1794.4,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-20,676.19,Metric Tonnes,1777.67,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-21,57.5,Metric Tonnes,2060.87,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-22,1112.19,Metric Tonnes,1630.69,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-23,837.8,Metric Tonnes,1658.86,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-24,1002.31,Metric Tonnes,1631.99,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-25,796.48,Metric Tonnes,1502.34,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-26,560.85,Metric Tonnes,1559.72,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-27,527.73,Metric Tonnes,1539.57,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-28,54.82,Metric Tonnes,1819.23,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-29,1030.39,Metric Tonnes,1536.22,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-30,1032.41,Metric Tonnes,1475.66,Rs./Quintal
Punjab,Vegetables,Onion,2024-01-31,826.05,Metric Tonnes,1521.85,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-01,1080.91,Metric Tonnes,1447.01,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-02,1041.74,Metric Tonnes,1428.31,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-03,702.72,Metric Tonnes,1425.0,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-04,74.0,Metric Tonnes,1630.81,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-05,1412.88,Metric Tonnes,1418.91,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-06,1238.79,Metric Tonnes,1341.35,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-07,911.34,Metric Tonnes,1390.48,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-08,1009.63,Metric Tonnes,1323.94,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-09,1029.14,Metric Tonnes,1305.78,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-10,912.35,Metric Tonnes,1324.97,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-11,96.05,Metric Tonnes,1662.36,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-12,1511.49,Metric Tonnes,1298.87,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-13,1295.86,Metric Tonnes,1337.69,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-14,602.92,Metric Tonnes,1401.42,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-15,684.85,Metric Tonnes,1404.98,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-16,275.6,Metric Tonnes,1476.88,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-17,977.33,Metric Tonnes,1311.07,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-18,78.61,Metric Tonnes,1407.52,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-19,1038.98,Metric Tonnes,1392.34,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-20,787.1,Metric Tonnes,1441.43,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-21,433.25,Metric Tonnes,1437.26,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-22,603.14,Metric Tonnes,1448.08,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-23,502.14,Metric Tonnes,1480.82,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-24,595.22,Metric Tonnes,1398.44,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-25,42.33,Metric Tonnes,1804.91,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-26,994.5,Metric Tonnes,1425.3,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-27,912.76,Metric Tonnes,1442.79,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-28,835.97,Metric Tonnes,1540.37,Rs./Quintal
Punjab,Vegetables,Onion,2024-02-29,821.72,Metric Tonnes,1515.79,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-01,722.08,Metric Tonnes,1518.33,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-02,503.72,Metric Tonnes,1509.25,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-03,64.25,Metric Tonnes,1638.13,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-04,1089.81,Metric Tonnes,1497.36,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-05,1406.83,Metric Tonnes,1665.26,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-06,843.5,Metric Tonnes,1511.83,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-07,472.49,Metric Tonnes,1741.36,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-08,697.34,Metric Tonnes,1469.13,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-09,909.95,Metric Tonnes,1605.36,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-10,44.9,Metric Tonnes,1666.15,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-11,1197.76,Metric Tonnes,1581.89,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-12,1210.0,Metric Tonnes,1656.24,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-13,636.86,Metric Tonnes,1605.6,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-14,909.58,Metric Tonnes,1696.06,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-15,431.9,Metric Tonnes,1623.75,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-16,678.85,Metric Tonnes,1631.28,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-17,42.9,Metric Tonnes,1874.48,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-18,1585.16,Metric Tonnes,1630.55,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-19,1323.98,Metric Tonnes,1572.76,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-20,1367.58,Metric Tonnes,1536.93,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-21,790.44,Metric Tonnes,1559.1,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-22,622.39,Metric Tonnes,1631.06,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-23,534.13,Metric Tonnes,1539.3,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-24,39.7,Metric Tonnes,1801.89,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-25,1190.27,Metric Tonnes,1545.17,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-26,1334.68,Metric Tonnes,1638.4,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-27,1100.22,Metric Tonnes,1634.53,Rs./Quintal
Punjab,Vegetables,Onion,2024-03-28,1239.98,Metric Tonnes,1629.56,Rs./Quintal
